latitude,direction,band,label,count,total,proportion,bottom,color
0,0,0,0–5%,130,290,0.4482758620689655,0,"rgb(12,127,67)"
0,0,1,5–10%,29,290,0.1,0.4482758620689655,"rgb(150,210,104)"
0,0,2,10–15%,20,290,0.06896551724137931,0.5482758620689655,"rgb(254,255,190)"
0,0,3,15–20%,13,290,0.04482758620689655,0.6172413793103448,"rgb(251,157,89)"
0,0,4,≥20%,52,290,0.1793103448275862,0.6620689655172414,"rgb(189,23,38)"
0,0,5,not lit,46,290,0.15862068965517243,0.8413793103448276,"rgb(140,140,140)"
0,15,0,0–5%,334,637,0.5243328100470958,0,"rgb(12,127,67)"
0,15,1,5–10%,61,637,0.09576138147566719,0.5243328100470958,"rgb(150,210,104)"
0,15,2,10–15%,39,637,0.061224489795918366,0.6200941915227629,"rgb(254,255,190)"
0,15,3,15–20%,28,637,0.04395604395604396,0.6813186813186812,"rgb(251,157,89)"
0,15,4,≥20%,96,637,0.15070643642072212,0.7252747252747251,"rgb(189,23,38)"
0,15,5,not lit,79,637,0.12401883830455258,0.8759811616954473,"rgb(140,140,140)"
0,30,0,0–5%,731,1703,0.42924251321197887,0,"rgb(12,127,67)"
0,30,1,5–10%,293,1703,0.17204932472108045,0.42924251321197887,"rgb(150,210,104)"
0,30,2,10–15%,139,1703,0.08162066940692896,0.6012918379330593,"rgb(254,255,190)"
0,30,3,15–20%,75,1703,0.04403992953611274,0.6829125073399882,"rgb(251,157,89)"
0,30,4,≥20%,174,1703,0.10217263652378156,0.7269524368761009,"rgb(189,23,38)"
0,30,5,not lit,291,1703,0.17087492660011744,0.8291250733998825,"rgb(140,140,140)"
0,45,0,0–5%,89,187,0.47593582887700536,0,"rgb(12,127,67)"
0,45,1,5–10%,29,187,0.15508021390374332,0.47593582887700536,"rgb(150,210,104)"
0,45,2,10–15%,17,187,0.09090909090909091,0.6310160427807487,"rgb(254,255,190)"
0,45,3,15–20%,4,187,0.0213903743315508,0.7219251336898397,"rgb(251,157,89)"
0,45,4,≥20%,26,187,0.13903743315508021,0.7433155080213905,"rgb(189,23,38)"
0,45,5,not lit,22,187,0.11764705882352941,0.8823529411764707,"rgb(140,140,140)"
0,60,0,0–5%,214,412,0.5194174757281553,0,"rgb(12,127,67)"
0,60,1,5–10%,42,412,0.10194174757281553,0.5194174757281553,"rgb(150,210,104)"
0,60,2,10–15%,22,412,0.05339805825242718,0.6213592233009708,"rgb(254,255,190)"
0,60,3,15–20%,19,412,0.04611650485436893,0.674757281553398,"rgb(251,157,89)"
0,60,4,≥20%,57,412,0.1383495145631068,0.7208737864077669,"rgb(189,23,38)"
0,60,5,not lit,58,412,0.1407766990291262,0.8592233009708736,"rgb(140,140,140)"
0,75,0,0–5%,423,826,0.5121065375302664,0,"rgb(12,127,67)"
0,75,1,5–10%,96,826,0.1162227602905569,0.5121065375302664,"rgb(150,210,104)"
0,75,2,10–15%,54,826,0.06537530266343826,0.6283292978208233,"rgb(254,255,190)"
0,75,3,15–20%,31,826,0.03753026634382567,0.6937046004842615,"rgb(251,157,89)"
0,75,4,≥20%,139,826,0.1682808716707022,0.7312348668280872,"rgb(189,23,38)"
0,75,5,not lit,83,826,0.10048426150121065,0.8995157384987894,"rgb(140,140,140)"
0,90,0,0–5%,96,286,0.3356643356643357,0,"rgb(12,127,67)"
0,90,1,5–10%,46,286,0.16083916083916083,0.3356643356643357,"rgb(150,210,104)"
0,90,2,10–15%,28,286,0.0979020979020979,0.4965034965034965,"rgb(254,255,190)"
0,90,3,15–20%,17,286,0.05944055944055944,0.5944055944055944,"rgb(251,157,89)"
0,90,4,≥20%,64,286,0.22377622377622378,0.6538461538461539,"rgb(189,23,38)"
0,90,5,not lit,35,286,0.12237762237762238,0.8776223776223776,"rgb(140,140,140)"
0,105,0,0–5%,234,611,0.3829787234042553,0,"rgb(12,127,67)"
0,105,1,5–10%,81,611,0.132569558101473,0.3829787234042553,"rgb(150,210,104)"
0,105,2,10–15%,44,611,0.07201309328968904,0.5155482815057283,"rgb(254,255,190)"
0,105,3,15–20%,22,611,0.03600654664484452,0.5875613747954174,"rgb(251,157,89)"
0,105,4,≥20%,105,611,0.1718494271685761,0.6235679214402619,"rgb(189,23,38)"
0,105,5,not lit,125,611,0.20458265139116202,0.795417348608838,"rgb(140,140,140)"
0,120,0,0–5%,619,1778,0.3481439820022497,0,"rgb(12,127,67)"
0,120,1,5–10%,233,1778,0.13104611923509563,0.3481439820022497,"rgb(150,210,104)"
0,120,2,10–15%,133,1778,0.07480314960629922,0.47919010123734535,"rgb(254,255,190)"
0,120,3,15–20%,67,1778,0.03768278965129359,0.5539932508436446,"rgb(251,157,89)"
0,120,4,≥20%,225,1778,0.1265466816647919,0.5916760404949382,"rgb(189,23,38)"
0,120,5,not lit,501,1778,0.28177727784026996,0.71822272215973,"rgb(140,140,140)"
0,135,0,0–5%,81,188,0.4308510638297872,0,"rgb(12,127,67)"
0,135,1,5–10%,27,188,0.14361702127659576,0.4308510638297872,"rgb(150,210,104)"
0,135,2,10–15%,12,188,0.06382978723404255,0.574468085106383,"rgb(254,255,190)"
0,135,3,15–20%,5,188,0.026595744680851064,0.6382978723404256,"rgb(251,157,89)"
0,135,4,≥20%,26,188,0.13829787234042554,0.6648936170212766,"rgb(189,23,38)"
0,135,5,not lit,37,188,0.19680851063829788,0.8031914893617021,"rgb(140,140,140)"
0,150,0,0–5%,179,456,0.3925438596491228,0,"rgb(12,127,67)"
0,150,1,5–10%,60,456,0.13157894736842105,0.3925438596491228,"rgb(150,210,104)"
0,150,2,10–15%,37,456,0.08114035087719298,0.5241228070175439,"rgb(254,255,190)"
0,150,3,15–20%,16,456,0.03508771929824561,0.6052631578947368,"rgb(251,157,89)"
0,150,4,≥20%,72,456,0.15789473684210525,0.6403508771929824,"rgb(189,23,38)"
0,150,5,not lit,92,456,0.20175438596491227,0.7982456140350878,"rgb(140,140,140)"
0,165,0,0–5%,373,907,0.41124586549062847,0,"rgb(12,127,67)"
0,165,1,5–10%,119,907,0.13120176405733186,0.41124586549062847,"rgb(150,210,104)"
0,165,2,10–15%,42,907,0.04630650496141125,0.5424476295479603,"rgb(254,255,190)"
0,165,3,15–20%,26,907,0.02866593164277839,0.5887541345093715,"rgb(251,157,89)"
0,165,4,≥20%,146,907,0.1609702315325248,0.61742006615215,"rgb(189,23,38)"
0,165,5,not lit,201,907,0.22160970231532526,0.7783902976846747,"rgb(140,140,140)"
0,180,0,0–5%,78,276,0.2826086956521739,0,"rgb(12,127,67)"
0,180,1,5–10%,23,276,0.08333333333333333,0.2826086956521739,"rgb(150,210,104)"
0,180,2,10–15%,28,276,0.10144927536231885,0.3659420289855072,"rgb(254,255,190)"
0,180,3,15–20%,11,276,0.03985507246376811,0.46739130434782605,"rgb(251,157,89)"
0,180,4,≥20%,84,276,0.30434782608695654,0.5072463768115941,"rgb(189,23,38)"
0,180,5,not lit,52,276,0.18840579710144928,0.8115942028985507,"rgb(140,140,140)"
0,195,0,0–5%,299,610,0.4901639344262295,0,"rgb(12,127,67)"
0,195,1,5–10%,71,610,0.11639344262295082,0.4901639344262295,"rgb(150,210,104)"
0,195,2,10–15%,27,610,0.04426229508196721,0.6065573770491803,"rgb(254,255,190)"
0,195,3,15–20%,15,610,0.02459016393442623,0.6508196721311476,"rgb(251,157,89)"
0,195,4,≥20%,94,610,0.1540983606557377,0.6754098360655738,"rgb(189,23,38)"
0,195,5,not lit,104,610,0.17049180327868851,0.8295081967213115,"rgb(140,140,140)"
0,210,0,0–5%,696,1679,0.41453245979749853,0,"rgb(12,127,67)"
0,210,1,5–10%,310,1679,0.18463371054198927,0.41453245979749853,"rgb(150,210,104)"
0,210,2,10–15%,141,1679,0.08397855866587255,0.5991661703394878,"rgb(254,255,190)"
0,210,3,15–20%,64,1679,0.038117927337701016,0.6831447290053604,"rgb(251,157,89)"
0,210,4,≥20%,182,1679,0.10839785586658725,0.7212626563430614,"rgb(189,23,38)"
0,210,5,not lit,286,1679,0.1703394877903514,0.8296605122096486,"rgb(140,140,140)"
0,225,0,0–5%,77,197,0.39086294416243655,0,"rgb(12,127,67)"
0,225,1,5–10%,31,197,0.15736040609137056,0.39086294416243655,"rgb(150,210,104)"
0,225,2,10–15%,16,197,0.08121827411167512,0.5482233502538071,"rgb(254,255,190)"
0,225,3,15–20%,19,197,0.09644670050761421,0.6294416243654822,"rgb(251,157,89)"
