method,metric,latitude,orientation_bin,center_deg,error_band,band_label,count,bin_total,proportion,bottom,red,green,blue,alpha
F1 m=3 r=20%,surface_sensor_wmape,0,0,0,0,0–5%,130,290,0.44827586206896552,0,0.047981545559400242,0.49642445213379471,0.26182237600922725,1
F1 m=3 r=20%,surface_sensor_wmape,0,0,0,1,5–10%,29,290,0.10000000000000001,0.44827586206896552,0.5870049980776626,0.82299115724721261,0.40868896578239144,1
F1 m=3 r=20%,surface_sensor_wmape,0,0,0,2,10–15%,20,290,0.068965517241379309,0.5482758620689655,0.99707804690503654,0.99876970396001541,0.74502114571318723,1
F1 m=3 r=20%,surface_sensor_wmape,0,0,0,3,15–20%,13,290,0.044827586206896551,0.61724137931034484,0.9831603229527105,0.61737793156478282,0.35040369088811996,1
F1 m=3 r=20%,surface_sensor_wmape,0,0,0,4,≥20%,52,290,0.1793103448275862,0.66206896551724137,0.73933102652825844,0.088581314878892731,0.15086505190311419,1
F1 m=3 r=20%,surface_sensor_wmape,0,0,0,5,not lit,46,290,0.15862068965517243,0.8413793103448276,0.55000000000000004,0.55000000000000004,0.55000000000000004,1
F1 m=3 r=20%,surface_sensor_wmape,0,1,15,0,0–5%,334,637,0.52433281004709575,0,0.047981545559400242,0.49642445213379471,0.26182237600922725,1
F1 m=3 r=20%,surface_sensor_wmape,0,1,15,1,5–10%,61,637,0.095761381475667193,0.52433281004709575,0.5870049980776626,0.82299115724721261,0.40868896578239144,1
F1 m=3 r=20%,surface_sensor_wmape,0,1,15,2,10–15%,39,637,0.061224489795918366,0.62009419152276291,0.99707804690503654,0.99876970396001541,0.74502114571318723,1
F1 m=3 r=20%,surface_sensor_wmape,0,1,15,3,15–20%,28,637,0.043956043956043959,0.68131868131868123,0.9831603229527105,0.61737793156478282,0.35040369088811996,1
F1 m=3 r=20%,surface_sensor_wmape,0,1,15,4,≥20%,96,637,0.15070643642072212,0.72527472527472514,0.73933102652825844,0.088581314878892731,0.15086505190311419,1
F1 m=3 r=20%,surface_sensor_wmape,0,1,15,5,not lit,79,637,0.12401883830455258,0.87598116169544726,0.55000000000000004,0.55000000000000004,0.55000000000000004,1
F1 m=3 r=20%,surface_sensor_wmape,0,2,30,0,0–5%,731,1703,0.42924251321197887,0,0.047981545559400242,0.49642445213379471,0.26182237600922725,1
F1 m=3 r=20%,surface_sensor_wmape,0,2,30,1,5–10%,293,1703,0.17204932472108045,0.42924251321197887,0.5870049980776626,0.82299115724721261,0.40868896578239144,1
F1 m=3 r=20%,surface_sensor_wmape,0,2,30,2,10–15%,139,1703,0.081620669406928956,0.60129183793305929,0.99707804690503654,0.99876970396001541,0.74502114571318723,1
F1 m=3 r=20%,surface_sensor_wmape,0,2,30,3,15–20%,75,1703,0.044039929536112743,0.68291250733998821,0.9831603229527105,0.61737793156478282,0.35040369088811996,1
F1 m=3 r=20%,surface_sensor_wmape,0,2,30,4,≥20%,174,1703,0.10217263652378156,0.72695243687610089,0.73933102652825844,0.088581314878892731,0.15086505190311419,1
F1 m=3 r=20%,surface_sensor_wmape,0,2,30,5,not lit,291,1703,0.17087492660011744,0.82912507339988251,0.55000000000000004,0.55000000000000004,0.55000000000000004,1
F1 m=3 r=20%,surface_sensor_wmape,0,3,45,0,0–5%,89,187,0.47593582887700536,0,0.047981545559400242,0.49642445213379471,0.26182237600922725,1
F1 m=3 r=20%,surface_sensor_wmape,0,3,45,1,5–10%,29,187,0.15508021390374332,0.47593582887700536,0.5870049980776626,0.82299115724721261,0.40868896578239144,1
F1 m=3 r=20%,surface_sensor_wmape,0,3,45,2,10–15%,17,187,0.090909090909090912,0.63101604278074874,0.99707804690503654,0.99876970396001541,0.74502114571318723,1
F1 m=3 r=20%,surface_sensor_wmape,0,3,45,3,15–20%,4,187,0.021390374331550801,0.72192513368983968,0.9831603229527105,0.61737793156478282,0.35040369088811996,1
F1 m=3 r=20%,surface_sensor_wmape,0,3,45,4,≥20%,26,187,0.13903743315508021,0.74331550802139046,0.73933102652825844,0.088581314878892731,0.15086505190311419,1
F1 m=3 r=20%,surface_sensor_wmape,0,3,45,5,not lit,22,187,0.11764705882352941,0.88235294117647067,0.55000000000000004,0.55000000000000004,0.55000000000000004,1
F1 m=3 r=20%,surface_sensor_wmape,0,4,60,0,0–5%,214,412,0.51941747572815533,0,0.047981545559400242,0.49642445213379471,0.26182237600922725,1
F1 m=3 r=20%,surface_sensor_wmape,0,4,60,1,5–10%,42,412,0.10194174757281553,0.51941747572815533,0.5870049980776626,0.82299115724721261,0.40868896578239144,1
F1 m=3 r=20%,surface_sensor_wmape,0,4,60,2,10–15%,22,412,0.053398058252427182,0.62135922330097082,0.99707804690503654,0.99876970396001541,0.74502114571318723,1
F1 m=3 r=20%,surface_sensor_wmape,0,4,60,3,15–20%,19,412,0.046116504854368932,0.67475728155339798,0.9831603229527105,0.61737793156478282,0.35040369088811996,1
F1 m=3 r=20%,surface_sensor_wmape,0,4,60,4,≥20%,57,412,0.13834951456310679,0.72087378640776689,0.73933102652825844,0.088581314878892731,0.15086505190311419,1
F1 m=3 r=20%,surface_sensor_wmape,0,4,60,5,not lit,58,412,0.14077669902912621,0.85922330097087363,0.55000000000000004,0.55000000000000004,0.55000000000000004,1
F1 m=3 r=20%,surface_sensor_wmape,0,5,75,0,0–5%,423,826,0.51210653753026636,0,0.047981545559400242,0.49642445213379471,0.26182237600922725,1
