latitude,cell_hash,method,feature,n_exploratory_periods,scope,algorithm,ratio,kmeans_threads,segment,level,n_cases,error_numerator,true_signal,cost_ratio_mean,wmape,family,color,line_style,marker,selected
0,6cd52c9bc8413fd0,F2 m=0 r=1%,F2,0,S2,kmeans,0.01,4,all,building,10,1115879.886693439,5872969.4563907655,0.011759737012504018,0.19000267155811212,MF,#4C78A8,solid,circle,False
0,c84bdea16f32f98f,F2 m=0 r=2%,F2,0,S2,kmeans,0.02,4,all,building,10,942811.8210262357,5872969.4563907655,0.020877703435246517,0.16053409234068125,MF,#4C78A8,solid,circle,False
0,92509a4487fb049e,F2 m=0 r=5%,F2,0,S2,kmeans,0.050000000000000003,4,all,building,10,728216.77007328288,5872969.4563907655,0.04997992859681482,0.12399464623144978,MF,#4C78A8,solid,circle,False
0,84910c2b0412848d,F2 m=0 r=10%,F2,0,S2,kmeans,0.10000000000000001,4,all,building,10,598523.69373192335,5872969.4563907655,0.099984286374462231,0.1019115965400825,MF,#4C78A8,solid,circle,False
0,031f112e5c4cf361,F2 m=0 r=20%,F2,0,S2,kmeans,0.20000000000000001,4,all,building,10,461761.81667178054,5872969.4563907655,0.20008062823660575,0.0786249307272162,MF,#4C78A8,solid,circle,False
0,3707057ec933dfea,F2 m=0 r=35%,F2,0,S2,kmeans,0.34999999999999998,4,all,building,10,339206.78155696916,5872969.4563907655,0.34992124076956094,0.057757286850497046,MF,#4C78A8,solid,circle,False
0,4acb6086578a45d2,F2 m=0 r=50%,F2,0,S2,kmeans,0.5,4,all,building,10,260768.82574792614,5872969.4563907655,0.49996827455965037,0.044401529359933307,MF,#4C78A8,solid,circle,False
0,910b849b9f88b2ce,F3 m=1 r=1%,F3,1,S2,kmeans,0.01,4,all,building,10,853778.03125279478,5872969.4563907655,0.063772382432898539,0.14537416507823697,MF+SF,#F58518,dashed,square,False
0,eb7cf93e607fec24,F3 m=1 r=2%,F3,1,S2,kmeans,0.02,4,all,building,10,700236.30590181611,5872969.4563907655,0.072410455886023017,0.11923036738082178,MF+SF,#F58518,dashed,square,False
0,2ee080f94d11e0eb,F3 m=1 r=5%,F3,1,S2,kmeans,0.050000000000000003,4,all,building,10,502313.25918490055,5872969.4563907655,0.099980984986456148,0.085529690374653716,MF+SF,#F58518,dashed,square,False
0,1409585c91dc73a1,F3 m=1 r=10%,F3,1,S2,kmeans,0.10000000000000001,4,all,building,10,391018.63224684476,5872969.4563907655,0.14735353446001684,0.066579374394898583,MF+SF,#F58518,dashed,square,False
